uniprot	names	abs_Xexp	cap_Xexp	UB_Xexp	abs_XNlim	cap_XNlim	UB_XNlim	abs_Aexp	cap_Aexp	UB_Aexp	abs_ANlim	cap_ANlim	UB_ANlim	abs_Gexp	cap_Gexp	UB_Gexp	abs_GNlim	cap_GNlim	UB_GNlim
M7WCH0	xylose and arabinose reductase	1.12259233296797e-05	0.00600023348658891	0.00187091441604243	3.01032519428328e-06	0.00400749993059043	0.000751172862488299	4.19031943974089e-06	0.006	0.000698386573290149	2.30435861508718e-06	0.00436658710330643	0.000527725328859763	1.03544940643424e-05	0.00549982759250826	0.001882694300899	5.86190889357437e-06	0.0085	0.000689636340420514
M7WCK1	ubiquinone biosynthesis protein coq4, mitochondrial (coenzyme q biosynthesis protein 4)	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0
M7WCS9	chitin synthase (ec 2.4.1.16)	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0
M7WD54	cytochrome-b5 reductase	3.07946017914974e-06	0.00036612952025563	0.00841084919074451	1.30526321124366e-06	0.000333189736867877	0.00391747724138708	7.4551888102167e-06	0.000676377060884194	0.0110222378039712	4.38441541415232e-06	0.000542201821547582	0.00808631627543796	4.04040138308452e-06	0.000356033836642739	0.0113483634622595	2.04140484428984e-06	0.000376218575546652	0.00542611390552327
M7WD91	galactose-1-phosphate uridylyltransferase (ec 2.7.7.12)	1.58783094373703e-22	1.58783094373703e-25	1000.0	4.91016626013751e-23	4.91016626013751e-26	1000.0	3.80574273426254e-22	3.80574273426254e-25	1000.0	1.49234745375153e-23	1.49234745375153e-26	1000.0	9.86259324432841e-24	9.86259324432841e-27	1000.0	5.02924722169763e-24	5.02924722169763e-27	1000.0
M7WD99	cytochrome c oxidase subunit	0.00362997735415907	0.107198031540715	0.0338623508471829	0.0015676039225255	0.0646997802959959	0.0242288909692406	0.0115643980720995	0.257154909131981	0.0449705514513986	0.00335752989095265	0.10962816625802	0.0306265260612896	0.00977043622309748	0.129755865541806	0.0752986092944643	0.00184932879843015	0.0838740836636015	0.022048870373921
M7WDC1	ribonucleoside-diphosphate reductase (ec 1.17.4.1)	1.08872855728337e-05	0.0295563715693674	0.000368356634957093	2.87326166674425e-06	0.0506479702822336	5.67300456609242e-05	1.54904792223734e-05	0.0676522757382511	0.000228972034618711	3.11190052195712e-06	0.0347736239263978	8.94902564237712e-05	3.46840492736503e-05	0.0424572762662444	0.000816916494033928	1.28767032758612e-06	0.0283513910830082	4.54182415182393e-05
M7WDE2	enoyl reductase	3.55026006137818e-06	3.55026006137818e-09	1000.0	4.9356947383038e-07	4.9356947383038e-10	1000.0	0.000235065315596616	2.35065315596616e-07	1000.0	7.57426298469757e-06	7.57426298469757e-09	1000.0	6.27586777437856e-06	6.27586777437856e-09	1000.0	1.16219266172456e-06	1.16219266172456e-09	1000.0
M7WDH6	glutamate-5-semialdehyde dehydrogenase	4.97391288687957e-05	0.0790210474017939	0.000629441528608067	6.03223454716381e-06	0.0246808837613779	0.000244409179407239	5.90772730067281e-05	0.142914753397617	0.000413374208066284	5.63015069948511e-06	0.0311715436072874	0.000180618283470854	0.000250028758273719	0.377738468286555	0.000661909705431552	9.51115566351231e-06	0.0514850762539789	0.000184736167362232
M7WDP6	s-methyl-5-thioadenosine phosphorylase (ec 2.4.2.28) (5-methylthioadenosine phosphorylase) (mta phosphorylase) (mtap) (mtapase... <Preview truncated at 128 characters>	1.41008487312524e-05	0.00278318209970043	0.00506644848454946	4.76525041738091e-06	0.00200462453453134	0.00237712865192233	1.01722295699639e-05	0.00104067767040315	0.00977462076804551	4.62547944426431e-06	0.00098447849671957	0.00469840576475474	2.22298711991632e-05	0.00247647416069482	0.00897641960169946	5.86839052105896e-06	0.00148552796474948	0.00395037364513606
M7WE11	branched-chain amino acid aminotransferase	3.65486507178634e-06	3.65486507178634e-09	1000.0	4.05524707227008e-07	4.05524707227008e-10	1000.0	4.07185878468008e-06	4.07185878468008e-09	1000.0	7.42378512590712e-06	7.42378512590712e-09	1000.0	1.88182887701736e-05	1.88182887701736e-08	1000.0	3.23740569908053e-07	3.23740569908053e-10	1000.0
M7WEF4	3,4-dihydroxy-2-butanone 4-phosphate synthase (dhbp synthase) (ec 4.1.99.12)	4.20318192022661e-06	4.20318192022661e-09	1000.0	1.15809737321437e-06	0.00283546967746209	0.000408432289867031	5.68237818587306e-06	0.00841844932692474	0.000674991077952932	9.34057714440296e-07	0.00224762838888061	0.000415574798334652	1.48669342453952e-05	0.0135473128648459	0.00109740834907368	1.4788942437264e-06	0.00298797132956929	0.000494949275145681
M7WEG7	carbamoyl-phosphate synthase / aspartate carbamoyltransferase	2.97157590922978e-06	0.00784518677613743	0.000378776948723307	5.27099599344583e-07	0.00487109602174492	0.000108209650762698	3.57248402086471e-06	0.012887138191071	0.000277213138238865	4.32222257791716e-07	0.00342532272475066	0.000126184389771092	9.38846090866581e-06	0.0115631026147947	0.000811932681169285	9.70573071754663e-07	0.00751374936155532	0.000129172936845708
M7WEJ4	d-arabinose 1-dehydrogenase	0.0	0.0	0.00052625654939026	0.0	0.0	9.65818982146358e-05	0.0	0.0	7.13793613916159e-05	0.0	0.0	1000.0	0.0	0.0	0.000139798657726855	0.0	0.0	7.35604079628558e-05
M7WEV1	3-hydroxyacyl-coa dehyrogenase	0.000112745765125425	0.0177158943612597	0.00636410236064474	6.44631747491788e-08	4.63138078359544e-05	0.0013918780977265	0.00062080904050987	0.0864404337172687	0.0071819288012879	3.30159372303069e-05	0.00756508475543012	0.00436425212640327	0.000232323025806197	0.0495267295295067	0.00469086144013981	1.64761489371575e-07	8.12618707433985e-05	0.00202753748916075
M7WFB4	1,3-beta-glucan synthase, glycosyltransferase family 48 protein	0.000676170644833858	6.76170644833858e-07	1000.0	0.000283061941531034	2.83061941531034e-07	1000.0	0.00116001335207112	0.990788538864666	0.00117079811338994	0.000192205721354159	0.990754244883241	0.000193999392227494	0.00196683396050471	0.99074448654643	0.00198520808060287	0.000181967580056188	0.990734661999748	0.000183669338558212
M7WFI6	thiamine-phosphate diphosphorylase / hydroxyethylthiazole kinase	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	3.96177551711889e-05	0.0	0.0	3.4013618357304e-05	0.0	0.0	1000.0	0.0	0.0	3.03416541058317e-05
M7WFJ0	arginine biosynthesis bifunctional protein argj, mitochondrial [cleaved into: arginine biosynthesis bifunctional protein argj al... <Preview truncated at 128 characters>	0.000197355327699442	0.243828901558601	0.000809400880855013	2.43286879424401e-05	0.0628450601374635	0.000387121722681543	0.000233997989751945	0.136645900383829	0.00171244061544957	2.21936989357559e-05	0.0167880222638947	0.00132199603901449	0.00100611877593948	0.340122513908339	0.00295810696086594	3.63196578552622e-05	0.0460192051678996	0.000789228273777244
M7WFK5	adenine phosphoribosyltransferase	3.92946994829258e-07	0.000308938988179356	0.00127192426292641	8.78661612152375e-08	8.78661612152375e-11	1000.0	2.68721918383137e-07	0.000332416617930479	0.000808388942935872	1.22625621405682e-07	0.000140259168690105	0.000874278826481688	6.19477681779001e-07	0.000271400465215776	0.00228252254942337	1.58756143821463e-07	0.000247801574302148	0.000640658334268246
M7WFL8	threonine aldolase	6.00686897897289e-06	0.0420765390511959	0.000142760529131546	1.43069663190535e-06	1.43069663190535e-09	1000.0	0.0001137698121196	1.137698121196e-07	1000.0	5.21909901069171e-06	5.21909901069171e-09	1000.0	3.43168806739749e-06	3.43168806739749e-09	1000.0	4.14459650693129e-06	4.14459650693129e-09	1000.0
M7WFU6	monothiol glutaredoxin-5	1.33841029110316e-07	0.000165421285827183	0.000809091940260584	3.44245359358822e-09	3.27124539328301e-06	0.00105233731491278	1.68844793675315e-07	0.000126247548034844	0.00133741047888482	0.0	0.0	0.00100456947402886	5.63961221581175e-08	1.73132955069294e-05	0.00325738806546366	3.61237481659569e-08	2.70627108813636e-05	0.00133481632066775
M7WFV3	c-5 sterol desaturase	3.97800845297606e-05	3.97800845297606e-08	1000.0	1.57405895383432e-05	1.57405895383432e-08	1000.0	4.65910200860225e-05	4.65910200860225e-08	1000.0	1.49233484607674e-05	1.49233484607674e-08	1000.0	3.97038157065493e-05	3.97038157065493e-08	1000.0	3.34671085200088e-05	3.34671085200088e-08	1000.0
M7WFX8	phosphatidylinositol glycan, class n	0.0	0.0	1000.0	9.25193255341128e-24	9.25193255341128e-27	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	6.16795503560752e-24	6.16795503560752e-27	1000.0
M7WG08	2,5-diamino-6-(ribosylamino)-4(3h)-pyrimidinone 5-phosphate reductase	0.00220664667635393	2.20664667635393e-06	1000.0	0.000607994554601608	6.07994554601608e-07	1000.0	0.00298321632887278	2.98321632887278e-06	1000.0	0.000490375004035349	4.90375004035349e-07	1000.0	0.00780505618429312	7.80505618429312e-06	1000.0	0.000776411092723265	7.76411092723265e-07	1000.0
M7WG58	sulfate adenylyltransferase (ec 2.7.7.4) (atp-sulfurylase) (sulfate adenylate transferase) (sat)	2.32236451348991e-05	0.00499458129149471	0.00464976817465094	8.57601600812274e-07	0.000628224858821303	0.00136511885636193	6.77103491373141e-06	0.0016062095887296	0.00421553635418577	4.16914940731503e-06	0.0024293885669998	0.00171613115495302	0.000190345924170624	0.0167092589972125	0.0113916436511265	7.63315190738885e-06	0.0042691292588785	0.00178798800516855
M7WG85	alkaline phosphatase (ec 3.1.3.1)	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0	0.0	0.0	1000.0
